[2023-08-28 02:13:02.663+0800] INFO  [restartedMain] o.s.b.w.e.t.TomcatWebServer:202 {} Tomcat started on port(s): 9980 (http) with context path ''
[2023-08-28 02:13:02.664+0800] INFO  [restartedMain] o.s.b.StartupInfoLogger:59 {} Started SnginxApplication in 1.296 seconds (JVM running for 1.728)
[2023-08-28 02:13:07.254+0800] INFO  [http-nio-9980-exec-2] o.s.w.s.FrameworkServlet:524 {} Initializing Servlet 'dispatcherServlet'
[2023-08-28 02:13:07.257+0800] INFO  [http-nio-9980-exec-2] o.s.w.s.FrameworkServlet:546 {} Completed initialization in 3 ms
[2023-08-28 02:15:32.573+0800] INFO  [Thread-6] o.s.s.c.ExecutorConfigurationSupport:208 {} Shutting down ExecutorService 'applicationTaskExecutor'
[2023-08-28 02:15:32.712+0800] INFO  [restartedMain] o.s.b.StartupInfoLogger:50 {} Starting SnginxApplication on reinstajdkdembp with PID 78670 (/Users/reinstalljdk/IdeaProjects/snginx/target/classes started by reinstalljdk in /Users/reinstalljdk/IdeaProjects/snginx)
[2023-08-28 02:15:32.712+0800] INFO  [restartedMain] o.s.b.SpringApplication:647 {} No active profile set, falling back to default profiles: default
[2023-08-28 02:15:32.777+0800] INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate:244 {} Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-08-28 02:15:32.777+0800] INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate:126 {} Bootstrapping Spring Data repositories in DEFAULT mode.
[2023-08-28 02:15:32.780+0800] INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate:182 {} Finished Spring Data repository scanning in 2ms. Found 0 repository interfaces.
[2023-08-28 02:15:32.781+0800] INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate:244 {} Multiple Spring Data modules found, entering strict repository configuration mode!
